
================================================================
======== Log Rotated - 5/4/2024, 12:00:00 AM                    
================================================================
[06:00:16][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:27][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:38][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:50][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:02][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:13][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:24][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:36][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:48][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:00][SCHEDULER] Restarting server (scheduled restart at 06:00).
