
================================================================
======== Log Rotated - 4/6/2024, 12:00:00 AM                    
================================================================
[06:00:30][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:41][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:52][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:03][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:13][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:24][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:35][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:45][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:57][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:07][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:19][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:30][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:41][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:52][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:03][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:14][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:25][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:36][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:48][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:59][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:10][SCHEDULER] Restarting server (scheduled restart at 22:00).
