
================================================================
======== Log Rotated - 4/13/2024, 12:00:00 AM                   
================================================================
[06:00:22][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:33][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:44][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:55][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:06][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:18][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:30][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:41][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:52][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:05][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:16][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:27][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:38][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:49][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:59][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:11][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:23][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:35][SCHEDULER] Restarting server (scheduled restart at 22:00).
[06:00:47][SCHEDULER] Restarting server (scheduled restart at 06:00).
[14:00:58][SCHEDULER] Restarting server (scheduled restart at 14:00).
[22:00:10][SCHEDULER] Restarting server (scheduled restart at 22:00).
